iter	Accuracy	MultiClass
0	0.4606690778	-1.910619038
1	0.5040687161	-1.88171588922	0.4724231465	-1.85173290633	0.4737793852	-1.81946071
4	0.4719710669	-1.79389069655	0.4692585895	-1.7648465
6	0.4710669078	-1.738901877
7	0.472875226	-1.714056907
8	0.4764918626	-1.691495326
9	0.4855334539	-1.671915181
10	0.4828209765	-1.650736147
11	0.4783001808	-1.631363995
12	0.4868896926	-1.612120082
13	0.4823688969	-1.59458327
14	0.5298372514	-1.580815511
15	0.5302893309	-1.565459612
16	0.5298372514	-1.553404058
17	0.5307414105	-1.539382215
18	0.5316455696	-1.527629441
19	0.534358047	-1.513317991
20	0.5320976492	-1.4995664
21	0.5320976492	-1.487900693
22	0.5334538879	-1.47810677
23	0.5330018083	-1.464253856
24	0.5334538879	-1.453671418
25	0.5379746835	-1.445634767
26	0.5397830018	-1.435201826
27	0.5415913201	-1.426396421
28	0.5424954792	-1.414775878
29	0.5420433996	-1.404382803
30	0.5424954792	-1.394066062
31	0.5420433996	-1.384373945
32	0.5415913201	-1.377314721
33	0.5429475588	-1.367405218
34	0.5424954792	-1.362189332
35	0.5420433996	-1.351228236
36	0.5420433996	-1.338978519
37	0.5429475588	-1.331877545
38	0.5438517179	-1.323149289
39	0.5438517179	-1.3125192
40	0.544755877	-1.304722937
41	0.5872513562	-1.294870399
42	0.5443037975	-1.287326431
43	0.5949367089	-1.278956287
44	0.5949367089	-1.274676251
45	0.5940325497	-1.269291698
46	0.5953887884	-1.260682743
47	0.5967450271	-1.255224957
48	0.595840868	-1.248772514
49	0.6017179024	-1.241314029
50	0.6021699819	-1.236627122
51	0.6012658228	-1.230639196
52	0.6008137432	-1.224528229
53	0.6008137432	-1.219911661
54	0.6008137432	-1.215271715
55	0.6008137432	-1.209803241
56	0.6012658228	-1.204571137
57	0.6017179024	-1.199201505
58	0.6026220615	-1.193329957
59	0.6035262206	-1.188185957
60	0.6021699819	-1.184696023
61	0.6048824593	-1.177432928
62	0.6084990958	-1.172647647
63	0.6084990958	-1.16949871
64	0.6089511754	-1.163343364
65	0.6112115732	-1.158220667
66	0.6107594937	-1.154833664
67	0.6143761302	-1.148755482
68	0.6121157324	-1.143382779
69	0.6121157324	-1.138893078
70	0.6152802893	-1.135273412
71	0.6175406872	-1.131140667
72	0.616636528	-1.126104014
73	0.616636528	-1.120935707
74	0.6175406872	-1.115632829
75	0.6179927667	-1.112299163
76	0.6179927667	-1.107871119
77	0.6193490054	-1.104093194
78	0.6184448463	-1.101668276
79	0.6216094033	-1.098065084
80	0.6225135624	-1.093522912
81	0.6220614828	-1.090304307
82	0.6216094033	-1.086664154
83	0.6220614828	-1.083139759
84	0.6220614828	-1.080344048885	0.6216094033	-1.0778228
86	0.6220614828	-1.073408132
87	0.6225135624	-1.070901508
88	0.6225135624	-1.068093887
89	0.6225135624	-1.065188621
90	0.6216094033	-1.063127728
91	0.6234177215	-1.059974996992	0.6234177215	-1.056881675993	0.6225135624	-1.05284838
94	0.6234177215	-1.048925638
95	0.6211573237	-1.044919039
96	0.6216094033	-1.042053257
97	0.6234177215	-1.039793404
98	0.6234177215	-1.037414984
99	0.6238698011	-1.034320176
76
