iter	Passed	Remaining
0	229	22699
1	388	19026
2	561	18160
3	700	16806
4	854	16240
5	976	15303
6	1119	14876
7	1240	14268
8	1396	14124
9	1690	15217
10	1845	14935
11	2041	14972
12	2179	14588
13	2299	14126
14	2439	13822
15	2556	13419
16	2695	13162
17	2813	12815
18	2960	12623
19	3082	12330
20	3222	12121
21	3340	11843
22	3485	11669
23	3606	11421
24	3745	11236
25	3864	10998
26	4006	10832
27	4133	10628
28	4279	10476
29	4400	10266
30	4537	10098
31	4654	9891
32	4793	9732
33	4915	9541
34	5053	9384
35	5173	9197
36	5309	9040
37	5429	8858
38	5565	8705
39	5682	8524
40	5819	8375
41	5942	8205
42	6082	8062
43	6198	7888
44	6335	7743
45	6455	7577
46	6591	7432
47	6712	7271
48	6847	7126
49	6966	6966
50	7104	6825
51	7224	6668
52	7359	6526
53	7477	6369
54	7618	6233
55	7737	6079
56	7882	5946
57	7997	5791
58	8135	5653
59	8254	5503
60	8391	5365
61	8501	5210
62	8633	5070
63	8751	4922
64	8895	4790
65	9015	4644
66	9147	4505
67	9262	4358
68	9403	4224
69	9519	4079
70	9653	3942
71	9771	3800
72	9912	3666
73	10027	3523
74	10164	3388
75	10286	3248
76	10426	3114
77	10536	2971
78	10674	2837
79	10791	2697
80	10931	2564
81	11050	2425
82	11183	2290
83	11300	2152
84	11441	2019
85	11558	1881
86	11694	1747
87	11814	1611
88	11953	1477
89	12065	1340
90	12201	1206
91	12317	1071
92	12457	937
93	12578	802
94	12713	669
95	12837	534
96	12980	401
97	13098	267
98	13232	133
99	13350	0
