iter	Accuracy	MultiClass
0	0.5720313442	-1.51344285
1	0.6115129596	-1.298898551
2	0.6335141652	-1.186529392
3	0.6407474382	-1.095637088
4	0.6470765521	-1.029059593
5	0.6711874623	-0.9669614818
6	0.6835443038	-0.9243610177
7	0.6859553948	-0.9056648641
8	0.6832429174	-0.8787927544
9	0.6968053044	-0.8438552223
10	0.7010247137	-0.827037683
11	0.7070524412	-0.8021840795
12	0.7151898734	-0.7780597764
13	0.7206148282	-0.7655065642
14	0.7200120555	-0.7582589473
15	0.7302591923	-0.7418060289
16	0.7335744424	-0.7403157805
17	0.7386980108	-0.7227552898
18	0.7435201929	-0.7117743857
19	0.7411091019	-0.7055939507
20	0.7450271248	-0.6941760708
21	0.7495479204	-0.6842493
22	0.7549728752	-0.6695386206
23	0.7610006028	-0.658878579
24	0.76039783	-0.6496968057
25	0.7655213984	-0.6429193961
26	0.7655213984	-0.6337996979
27	0.771549126	-0.626579817
28	0.7760699216	-0.6193996148
29	0.7820976492	-0.6110159318
30	0.7854128993	-0.6064390796
31	0.7884267631	-0.6017973225
32	0.7896323086	-0.5973816266
33	0.7896323086	-0.5907232478
34	0.7944544907	-0.5859037398
35	0.7977697408	-0.5773093396
36	0.8013863773	-0.5705437872
37	0.8022905365	-0.5650566437
38	0.8037974684	-0.5611403313
39	0.805907173	-0.5577671297
40	0.8065099458	-0.5547781716
41	0.8080168776	-0.5502445498
42	0.8110307414	-0.5436700815
43	0.8137432188	-0.5401201867
44	0.8140446052	-0.53722893
45	0.8176612417	-0.5334833821
46	0.8182640145	-0.5315872722
47	0.8221820374	-0.5280148332
48	0.8215792646	-0.5199210095
49	0.821880651	-0.516380352
50	0.8251959011	-0.5132342296
51	0.8294153104	-0.5054329928
52	0.8306208559	-0.5016041257
53	0.8315250151	-0.4986269772
54	0.8327305606	-0.4950751097
55	0.8312236287	-0.493066138
56	0.8318264014	-0.4896425049
57	0.8339361061	-0.4857544701
58	0.8342374925	-0.4797974072
59	0.8384569017	-0.4763649021
60	0.8384569017	-0.4743024547
61	0.8438818565	-0.4700580524
62	0.8447860157	-0.4675145798
63	0.8484026522	-0.4619397837
64	0.8493068113	-0.4601635205
65	0.8505123568	-0.4573668747
66	0.8535262206	-0.4555095431
67	0.8547317661	-0.4545308902
68	0.8535262206	-0.4523011215
69	0.8568414708	-0.4484280615
70	0.8571428571	-0.4448947606
71	0.8583484027	-0.4427164787
72	0.858649789	-0.4407052294
73	0.8613622664	-0.4370830914
74	0.8616636528	-0.4343757132
75	0.8631705847	-0.4326877987
76	0.8658830621	-0.4296148954
77	0.8664858348	-0.4285460016
78	0.8667872212	-0.4267785501
79	0.8679927667	-0.4246771015
80	0.867389994	-0.4230710988
81	0.8670886076	-0.4216237891
82	0.8685955395	-0.4184787227
83	0.8694996986	-0.4167621633
84	0.8710066305	-0.415629398
85	0.869801085	-0.4133704439
86	0.8716094033	-0.4110920786
87	0.8701024714	-0.4104407956
88	0.8728149488	-0.4092390573
89	0.8740204943	-0.4052484778
90	0.872212176	-0.4035011459
91	0.8767329717	-0.4007168281
92	0.8773357444	-0.3984009058
93	0.8758288125	-0.3962678835
94	0.8764315853	-0.3932910101
95	0.877034358	-0.3920585828
96	0.8779385172	-0.3913134595
97	0.8794454491	-0.3885383777
98	0.8803496082	-0.3867048548
99	0.8815551537	-0.385287656
100	0.8824593128	-0.3841524176
101	0.8818565401	-0.3831478072
102	0.8827606992	-0.3809502149
103	0.8839662447	-0.3781250188
104	0.8851717902	-0.3769760059
105	0.8854731766	-0.376564319
106	0.8869801085	-0.3757486724
107	0.8887884268	-0.3728583176
108	0.8896925859	-0.3698214165
109	0.8896925859	-0.3690113664
110	0.8896925859	-0.368385394
111	0.8908981314	-0.3661513234
112	0.8924050633	-0.3649155977
113	0.893007836	-0.363668951
114	0.8942133816	-0.3611819732
115	0.8951175407	-0.3593007801
116	0.8954189271	-0.3584145646
117	0.8966244726	-0.3572616417
118	0.8975286317	-0.3546584313
119	0.8975286317	-0.3534398038
120	0.8987341772	-0.350383956
121	0.8996383363	-0.3488840646
122	0.9011452682	-0.3456049921
123	0.9014466546	-0.3441951653
124	0.9008438819	-0.3430208432
125	0.9011452682	-0.3419166131
126	0.9014466546	-0.3402783031
127	0.9011452682	-0.3391478478
128	0.901748041	-0.3385376832
129	0.9023508137	-0.3375569297
130	0.9029535865	-0.3361008843
131	0.9035563593	-0.3346801069
132	0.9047619048	-0.3328354653
133	0.9047619048	-0.3318193868
134	0.9047619048	-0.3316047735
135	0.9056660639	-0.330849122
136	0.9068716094	-0.3297076917
137	0.9077757685	-0.3280619203
138	0.9092827004	-0.3265288846
139	0.908981314	-0.325490005
140	0.9095840868	-0.3247143745
141	0.9104882459	-0.3242471857
142	0.9080771549	-0.3235117451
143	0.9083785413	-0.3231132938
144	0.9077757685	-0.3226066361
145	0.9095840868	-0.3211888124
146	0.9095840868	-0.3200565603
147	0.9116937914	-0.3182836011
148	0.9147076552	-0.3169846062
149	0.9162145871	-0.3146592727
150	0.9171187462	-0.312898913
151	0.9180229054	-0.3110619128
152	0.9189270645	-0.3107591921
153	0.917721519	-0.308961163
154	0.9180229054	-0.3072299277
155	0.9189270645	-0.3049262086
156	0.9180229054	-0.3044086791
157	0.9180229054	-0.3040279016
158	0.9195298373	-0.3023793921
159	0.9183242917	-0.3018525846
160	0.9195298373	-0.3010049401
161	0.9207353828	-0.2984934765
162	0.9204339964	-0.296838692
163	0.9216395419	-0.2958789381
164	0.92013261	-0.2942742783
165	0.9222423146	-0.2930120196
166	0.9219409283	-0.2925271242
167	0.9219409283	-0.292172569
168	0.9210367691	-0.2915042033
169	0.9210367691	-0.2906052858
170	0.9210367691	-0.2889220002
171	0.9213381555	-0.2884184849
172	0.9219409283	-0.2872044215
173	0.9237492465	-0.2861283956
174	0.9246534057	-0.2852927537
175	0.924954792	-0.2833105043
176	0.9261603376	-0.2810810379
177	0.9255575648	-0.2800367611
178	0.9273658831	-0.2779890768
179	0.9288728149	-0.2764450715
180	0.9288728149	-0.2755624013
181	0.9291742013	-0.2744771548
182	0.9288728149	-0.2733845365
183	0.9294755877	-0.2728026745
184	0.9309825196	-0.2719123546
185	0.9318866787	-0.2707472287
186	0.9333936106	-0.2690859034
187	0.9330922242	-0.2683865559
188	0.9333936106	-0.2671620607
189	0.9324894515	-0.2656717655
190	0.9321880651	-0.2642759798
191	0.9330922242	-0.262422582
192	0.9355033153	-0.2608377925
193	0.9364074744	-0.2599840424
194	0.9364074744	-0.259093972
195	0.936106088	-0.2587571386
196	0.9367088608	-0.258195034
197	0.9376130199	-0.2573921761
198	0.9379144063	-0.2567475887
199	0.9382157926	-0.2558552938
200	0.9376130199	-0.2552666099
201	0.938517179	-0.2542147608
202	0.9376130199	-0.2532126184
203	0.9379144063	-0.2525923902
204	0.9373116335	-0.2517058222
205	0.9391199518	-0.2504697522
206	0.9400241109	-0.2492513981
207	0.9406268837	-0.2490030435
208	0.94092827	-0.247949089
209	0.9421338156	-0.2462251687
210	0.9424352019	-0.2454977469
211	0.9433393611	-0.2451692535
212	0.9433393611	-0.2441577253
213	0.9430379747	-0.2434500047
214	0.9448462929	-0.2424023318
215	0.9448462929	-0.2414381167
216	0.9454490657	-0.2400990601
217	0.9463532248	-0.2393952168
218	0.9466546112	-0.2380737119
219	0.9466546112	-0.2374677664
220	0.9475587703	-0.2364731248
221	0.9484629295	-0.2356783636
222	0.9490657022	-0.2338305758
223	0.9490657022	-0.2334703319
224	0.949668475	-0.2316722994
225	0.9490657022	-0.2309425248
226	0.949668475	-0.2306277666
227	0.9502712477	-0.2293522803
228	0.9505726341	-0.2286574714
229	0.9508740205	-0.2281231066
230	0.9508740205	-0.2275652724
231	0.9514767932	-0.2270774041
232	0.9514767932	-0.2264670701
233	0.9514767932	-0.2260362472
234	0.9514767932	-0.2252774759
235	0.9511754069	-0.2249306805
236	0.952079566	-0.2243437872
237	0.9532851115	-0.2237137884
238	0.952079566	-0.2232289052
239	0.9517781796	-0.2225618663
240	0.9529837251	-0.2215424788
241	0.9526823388	-0.2210345375
242	0.9529837251	-0.2204000852
243	0.9541892706	-0.2194376034
244	0.9553948162	-0.2185453599
245	0.9559975889	-0.2177447382
246	0.9559975889	-0.2168906799
247	0.9556962025	-0.2162205104
248	0.956901748	-0.21500034
249	0.956901748	-0.2143459157
250	0.9562989753	-0.2139621781
251	0.9562989753	-0.2131951867
252	0.9562989753	-0.2125659909
253	0.9566003617	-0.2114294686
254	0.9581072936	-0.2102242419
255	0.9572031344	-0.2099031862
256	0.9584086799	-0.20890373
257	0.9590114527	-0.2084490411
258	0.9599156118	-0.2077920355
259	0.9593128391	-0.2069446074
260	0.9605183846	-0.2061662549
261	0.9602169982	-0.2055265327
262	0.9599156118	-0.2052498115
263	0.9593128391	-0.2047918799
264	0.9605183846	-0.2042974261
