iter	Passed	Remaining
0	126	125994
1	207	103462
2	288	95873
3	379	94409
4	466	92814
5	559	92638
6	649	92080
7	695	86275
8	791	87191
9	879	87066
10	973	87485
11	1064	87663
12	1155	87762
13	1272	89606
14	1352	88824
15	1438	88479
16	1470	85009
17	1557	84948
18	1651	85292
19	1702	83422
20	1814	84602
21	1926	85652
22	2013	85535
23	2103	85549
24	2197	85687
25	2278	85352
26	2380	85791
27	2465	85579
28	2547	85309
29	2627	84953
30	2706	84589
31	2790	84408
32	2877	84313
33	2960	84117
34	3038	83763
35	3131	83848
36	3221	83846
37	3312	83852
38	3409	84021
39	3493	83844
40	3578	83705
41	3661	83527
42	3746	83380
43	3829	83199
44	3908	82950
45	3986	82670
46	4065	82436
47	4146	82233
48	4229	82090
49	4312	81932
50	4394	81769
51	4499	82025
52	4583	81898
53	4665	81728
54	4749	81609
55	4830	81427
56	4913	81292
57	4993	81094
58	5075	80942
59	5157	80804
60	5233	80565
61	5319	80472
62	5398	80295
63	5484	80204
64	5562	80018
65	5644	79871
66	5727	79762
67	5808	79612
68	5885	79414
69	5967	79282
70	6047	79122
71	6133	79058
72	6212	78883
73	6294	78762
74	6378	78664
75	6468	78640
76	6547	78479
77	6628	78350
78	6705	78176
79	6784	78017
80	6867	77911
81	6945	77759
82	7029	77663
83	7108	77517
84	7189	77391
85	7271	77282
86	7348	77112
87	7429	76997
88	7511	76889
89	7590	76746
90	7671	76631
91	7756	76555
92	7839	76454
93	7923	76369
94	8006	76274
95	8086	76145
96	8166	76025
97	8247	75913
98	8330	75812
99	8413	75719
100	8499	75654
101	8578	75527
102	8659	75416
103	8740	75305
104	8822	75199
105	8905	75106
106	8989	75022
107	9075	74955
108	9158	74867
109	9242	74776
110	9323	74671
111	9403	74552
112	9483	74440
113	9560	74306
114	9644	74219
115	9725	74116
116	9805	74000
117	9886	73897
118	9969	73810
119	10055	73740
120	10144	73694
121	10227	73604
122	10308	73497
123	10388	73391
124	10473	73315
125	10552	73194
126	10634	73098
127	10717	73014
128	10796	72896
129	10879	72810
130	10966	72748
131	11050	72662
132	11132	72570
133	11216	72489
134	11301	72413
135	11380	72300
136	11462	72202
137	11546	72126
138	11631	72045
139	11715	71967
140	11795	71858
141	11874	71749
142	11953	71637
143	12030	71512
144	12109	71404
145	12193	71325
146	12278	71250
147	12363	71171
148	12452	71120
149	12538	71049
150	12623	70975
151	12704	70877
152	12788	70793
153	12871	70709
154	12955	70628
155	13039	70549
156	13118	70438
157	13201	70349
158	13288	70287
159	13370	70195
160	13451	70099
161	13536	70021
162	13616	69922
163	13698	69830
164	13781	69741
165	13862	69647
166	13943	69549
167	14030	69482
168	14112	69391
169	14197	69316
170	14279	69224
171	14358	69123
172	14445	69053
173	14526	68958
174	14606	68861
175	14690	68779
176	14775	68700
177	14862	68636
178	14942	68534
179	15026	68455
180	15109	68370
181	15190	68273
182	15273	68190
183	15357	68105
184	15435	68000
185	15519	67919
186	15600	67825
187	15684	67742
188	15767	67658
189	15849	67568
190	15928	67467
191	16015	67397
192	16094	67298
193	16175	67202
194	16258	67117
195	16336	67012
196	16416	66916
197	16498	66828
198	16577	66724
199	16658	66632
200	16739	66540
